PERIOD_DS,REGION,TRAFFIC_SOURCE,LANDING_PAGE,USERSHIP,AOV,CONVERSION_RATE,BUY2SESSION_RATE,COMMISSION_RATE,ORDER_COUNT,LEAD_GEN_RATE,SESSION_COUNT,PI_COUNT
2023-01-01,US,ORGANIC,lead,no on lyst view,305.0,1.0,1.0,14.0,349.0,97.0,28970.0,28100.9
2023-01-01,US,ORGANIC,lead,web only,306.0,2.0,2.0,15.0,8130.0,97.0,326846.0,317040.62
2023-01-01,US,ORGANIC,lead_return,app and web,319.0,4.0,1.0,15.0,99.0,31.0,7722.0,2393.82
2023-01-01,US,ORGANIC,lead_return,no on lyst view,55.0,1.0,0.0,7.0,2.0,13.0,1832.0,238.16
2023-01-01,US,ORGANIC,lead_return,web only,334.0,4.0,1.0,15.0,1027.0,29.0,77038.0,22341.02
2023-01-01,US,ORGANIC,nan,app and web,319.0,3.0,1.0,15.0,4190.0,43.0,257846.0,110873.78
2023-01-01,US,ORGANIC,nan,app only,235.0,2.0,0.0,15.0,990.0,6.0,705838.0,42350.28
2023-01-01,US,ORGANIC,nan,no on lyst view,230.0,2.0,1.0,15.0,1090.0,74.0,81229.0,60109.46
2023-01-01,US,ORGANIC,nan,web only,322.0,3.0,2.0,15.0,10760.0,55.0,577314.0,317522.7
2023-01-01,US,ORGANIC,onboarding,app and web,286.0,5.0,1.0,15.0,544.0,18.0,59669.0,10740.42
2023-01-01,US,ORGANIC,onboarding,app only,225.0,3.0,0.0,15.0,415.0,5.0,255507.0,12775.35
2023-01-01,US,ORGANIC,others,app and web,287.0,6.0,1.0,15.0,20727.0,12.0,2626309.0,315157.08
2023-01-01,US,ORGANIC,others,app only,241.0,5.0,0.0,15.0,2000.0,6.0,620306.0,37218.36
2023-01-01,US,ORGANIC,others,no on lyst view,60.0,4.0,1.0,16.0,1.0,25.0,108.0,27.0
2023-01-01,US,ORGANIC,others,web only,300.0,4.0,0.0,15.0,1795.0,11.0,373727.0,41109.97
2023-01-01,US,ORGANIC,pdp_in_stock,app and web,411.0,4.0,1.0,15.0,921.0,27.0,71291.0,19248.57
2023-01-01,US,ORGANIC,pdp_in_stock,app only,,,0.0,,,0.0,11.0,0.0
2023-01-01,US,ORGANIC,pdp_in_stock,no on lyst view,,0.0,0.0,,0.0,62.0,692.0,429.04
2023-01-01,US,ORGANIC,pdp_in_stock,web only,294.0,5.0,1.0,13.0,37363.0,24.0,2485598.0,596543.52
2023-01-01,US,ORGANIC,pdp_out_of_stock,app and web,499.0,2.0,1.0,14.0,473.0,53.0,36609.0,19402.77
2023-01-01,US,ORGANIC,pdp_out_of_stock,no on lyst view,,0.0,0.0,,0.0,87.0,2690.0,2340.3
2023-01-01,US,ORGANIC,pdp_out_of_stock,web only,261.0,1.0,1.0,14.0,38858.0,44.0,5864308.0,2580295.52
2023-01-01,US,PAID,feed,app and web,387.0,4.0,1.0,15.0,943.0,21.0,94566.0,19858.86
2023-01-01,US,PAID,feed,app only,284.0,5.0,0.0,15.0,47.0,4.0,21038.0,841.52
2023-01-01,US,PAID,feed,no on lyst view,,0.0,0.0,,0.0,70.0,608.0,425.6
2023-01-01,US,PAID,feed,web only,299.0,3.0,1.0,15.0,12592.0,29.0,1425809.0,413484.61
2023-01-01,US,PAID,homepage,app and web,330.0,7.0,3.0,15.0,529.0,47.0,15408.0,7241.76
2023-01-01,US,PAID,homepage,web only,338.0,4.0,1.0,15.0,2212.0,21.0,231791.0,48676.11
2023-01-01,US,PAID,lead,app and web,259.0,3.0,0.0,17.0,74.0,4.0,48838.0,1953.52
2023-01-01,US,PAID,lead,app only,,0.0,0.0,,0.0,0.0,4453.0,0.0
2023-01-01,US,PAID,lead,no on lyst view,165.0,0.0,0.0,14.0,296.0,93.0,133094.0,123777.42
2023-01-01,US,PAID,lead,web only,196.0,1.0,1.0,14.0,105.0,98.0,16317.0,15990.66
2023-01-01,US,PAID,lead_return,app and web,,0.0,0.0,,0.0,11.0,102.0,11.22
2023-01-01,US,PAID,nan,app and web,301.0,7.0,2.0,16.0,87.0,21.0,4996.0,1049.16
2023-01-01,US,PAID,nan,app only,159.0,0.0,0.0,12.0,1.0,11.0,2575.0,283.25
2023-01-01,US,PAID,nan,web only,167.0,1.0,0.0,12.0,9.0,35.0,1644.0,575.4
2023-01-01,US,PAID,onboarding,app and web,290.0,6.0,1.0,15.0,40.0,15.0,4412.0,661.8
2023-01-01,US,PAID,onboarding,app only,457.0,3.0,0.0,17.0,5.0,4.0,4337.0,173.48
2023-01-01,US,PAID,others,app and web,310.0,4.0,1.0,14.0,395.0,15.0,64482.0,9672.3
2023-01-01,US,PAID,others,app only,259.0,2.0,0.0,16.0,50.0,5.0,53378.0,2668.9
2023-01-01,US,PAID,others,no on lyst view,,0.0,0.0,,0.0,25.0,32.0,8.0
